pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
HD 67087 b,HD 67087,13.1,1.17,973.0,3.06,0.17,,,1.08,352.2,F8 V,6330.0,1.55,1.36,Radial Velocity,2015.0,Multiple Observatories,76.5217,Gas Giant
HD 67087 c,HD 67087,12.9,1.15,1540.0,4.85,0.76,,,3.86,2374.0,F8 V,6330.0,1.55,1.36,Radial Velocity,2015.0,Multiple Observatories,76.5217,Gas Giant
HD 68402 b,HD 68402,12.6,1.12,2510.8444153,7.9,0.03,,,2.18,1103.0,G5 IV/V,5950.0,1.02,1.12,Radial Velocity,2016.0,Multiple Observatories,78.4293,Gas Giant
HD 68475 b,HD 68475,12.8,1.15,1639.99458012,5.16,0.62,,,7.27,7832.0,K2 VC,5022.0,0.79099,0.83,Radial Velocity,2026.0,Las Campanas Observatory,33.4297,Gas Giant
HD 6860 b,HD 6860,11.9,1.06,8981.83078182,28.26,0.28,,,2.03,663.87,M0 III,3802.0,86.4,2.49,Radial Velocity,2023.0,Bohyunsan Optical Astronomical Observatory,61.12469,Gas Giant
HD 68988 b,HD 68988,13.4,1.2,626.1251,1.97,0.12,,,0.07,6.27711,G2 V,5932.0,1.19,1.28,Radial Velocity,2001.0,Multiple Observatories,60.8447,Gas Giant
HD 68988 c,HD 68988,12.2,1.09,4776.96095721,15.03,0.45,,,13.2,16000.0,G2 V,5883.41,1.255733,1.171665,Radial Velocity,2021.0,Multiple Observatories,60.8447,Gas Giant
HD 69123 b,HD 69123,13.1,1.17,982.08977763,3.09,0.19,,,2.482,1193.3,K1 III,4842.0,7.72,1.68,Radial Velocity,2022.0,La Silla Observatory,75.116,Gas Giant
HD 69830 b,HD 69830,3.17,0.283,10.2,0.0321,0.1,,,0.0785,8.667,K0V,5385.0,0.886947,0.86,Radial Velocity,2006.0,La Silla Observatory,12.5591,Neptunian
HD 69830 c,HD 69830,3.46,0.309,11.8,0.0371,0.13,,,0.186,31.56,K0V,5385.0,0.886947,0.86,Radial Velocity,2006.0,La Silla Observatory,12.5591,Neptunian
HD 69830 d,HD 69830,4.45,0.397,18.1,0.057,0.07,,,0.63,197.0,K0V,5385.0,0.886947,0.86,Radial Velocity,2006.0,La Silla Observatory,12.5591,Neptunian
HD 70573 b,HD 70573,12.8,1.14,1900.0,6.1,0.4,,,1.76,851.8,G1-1.5 V,5737.0,0.976919,1.0,Radial Velocity,2007.0,La Silla Observatory,59.182,Gas Giant
HD 70642 b,HD 70642,13.0,1.16,1239.5307873,3.9,0.175,,,3.318,2124.54,G6 V,5732.0,0.984,1.078,Radial Velocity,2003.0,Anglo-Australian Telescope,29.276,Gas Giant
HD 72490 b,HD 72490,13.5,1.2,561.92344,1.768,0.124,,,1.88,858.0,G5,4934.0,4.96,1.21,Radial Velocity,2018.0,W. M. Keck Observatory,126.339,Gas Giant
HD 72659 b,HD 72659,13.2,1.17,949.67128012,2.988,0.2393,,,4.607,3549.0,G2 V,5929.0,1.36,1.033,Radial Velocity,2002.0,W. M. Keck Observatory,51.8949,Gas Giant
HD 72659 c,HD 72659,12.1,1.08,6165.8710958,19.4,0.114,,,21.5,35500.0,G2 V,5929.0,1.36,1.033,Radial Velocity,2022.0,Multiple Observatories,51.8949,Gas Giant
HD 72892 b,HD 72892,12.8,1.14,1737.88572948,5.468,0.419,,,0.228,39.44603,G5 V,5688.0,1.22,1.01,Radial Velocity,2016.0,Multiple Observatories,69.7311,Gas Giant
HD 73256 c,HD 73256,12.2,1.09,5085.254512,16.0,0.16,,,3.8,2690.0,G8 IV,5570.0,0.944723,1.0,Radial Velocity,2023.0,La Silla Observatory,36.708,Gas Giant
HD 73267 b,HD 73267,13.0,1.16,1321.53051631,4.158,0.261,,,2.229,1257.99159,K0 V,5387.0,0.909,0.93,Radial Velocity,2008.0,La Silla Observatory,50.4093,Gas Giant
